payment_id,expected_status,expected_exception,settlement_id,bank_id,status,exception_type,confidence,reason,evidence,recommended_action,status_correct
PAY0011,MATCHED,,SET0011,BANK0011,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0012,MATCHED,,SET0012,BANK0012,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0013,MATCHED,,SET0013,BANK0013,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0014,MATCHED,,SET0014,BANK0014,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0015,MATCHED,,SET0015,BANK0015,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0016,MATCHED,,SET0016,BANK0016,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0017,MATCHED,,SET0017,BANK0017,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0018,MATCHED,,SET0018,BANK0018,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0019,MATCHED,,SET0019,BANK0019,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0020,MATCHED,,SET0020,BANK0020,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0021,MATCHED,,SET0021,BANK0021,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0022,MATCHED,,SET0022,BANK0022,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0023,MATCHED,,SET0023,BANK0023,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0024,MATCHED,,SET0024,BANK0024,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0025,MATCHED,,SET0025,BANK0025,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0026,MATCHED,,SET0026,BANK0026,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0027,MATCHED,,SET0027,BANK0027,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0028,MATCHED,,SET0028,BANK0028,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0029,MATCHED,,SET0029,BANK0029,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0030,MATCHED,,SET0030,BANK0030,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0031,EXCEPTION,DATE_MISMATCH,SET0031,BANK0031,EXCEPTION,DATE_MISMATCH,100,"Settlement date: 2026-08-07, Bank date: 2026-08-20.",Settlement date: 2026-08-07; Bank date: 2026-08-20; Difference: 13 days.,Verify the settlement and bank transaction dates and investigate the timing difference.,True
PAY0032,MATCHED,,SET0032,BANK0032,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0033,MATCHED,,SET0033,BANK0033,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0034,MATCHED,,SET0034,BANK0034,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0035,MATCHED,,SET0035,BANK0035,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0036,MATCHED,,SET0036,BANK0036,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0037,MATCHED,,SET0037,BANK0037,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0038,MATCHED,,SET0038,BANK0038,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0039,MATCHED,,SET0039,BANK0039,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1000.00 matches gross settlement amount; expected net INR 976.40 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0040,MATCHED,,SET0040,BANK0040,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0041,MATCHED,,SET0041,BANK0041,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0042,MATCHED,,SET0042,BANK0042,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0043,EXCEPTION,FEE_MISMATCH,SET0043,,EXCEPTION,FEE_MISMATCH,100,"Expected fee INR 300.00, but settlement reports INR 600.00. Fee variance: INR 300.00.",Expected fee: INR 300.00; Actual fee: INR 600.00; Variance: INR 300.00.,Review the settlement fee calculation and verify the applicable fee rule.,True
PAY0044,EXCEPTION,DATE_MISMATCH,SET0044,BANK0044,EXCEPTION,DATE_MISMATCH,100,"Settlement date: 2026-08-06, Bank date: 2026-08-20.",Settlement date: 2026-08-06; Bank date: 2026-08-20; Difference: 14 days.,Verify the settlement and bank transaction dates and investigate the timing difference.,True
PAY0045,MATCHED,,SET0045,BANK0045,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0046,EXCEPTION,DATE_MISMATCH,SET0046,BANK0046,EXCEPTION,DATE_MISMATCH,100,"Settlement date: 2026-08-03, Bank date: 2026-08-20.",Settlement date: 2026-08-03; Bank date: 2026-08-20; Difference: 17 days.,Verify the settlement and bank transaction dates and investigate the timing difference.,True
PAY0047,MATCHED,,SET0047,BANK0047,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0048,MATCHED,,SET0048,BANK0048,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0049,MATCHED,,SET0049,BANK0049,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0050,MATCHED,,SET0050,BANK0050,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0051,MATCHED,,SET0051,BANK0051,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0052,MATCHED,,SET0052,BANK0052,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0053,MATCHED,,SET0053,BANK0053,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0054,MATCHED,,SET0054,BANK0054,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0055,MATCHED,,SET0055,BANK0055,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0056,MATCHED,,SET0056,BANK0056,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0057,MATCHED,,SET0057,BANK0057,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0058,MATCHED,,SET0058,BANK0058,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1000.00 matches gross settlement amount; expected net INR 976.40 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0059,MATCHED,,SET0059,BANK0059,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0060,MATCHED,,SET0060,BANK0060,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0061,MATCHED,,SET0061,BANK0061,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1000.00 matches gross settlement amount; expected net INR 976.40 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0062,MATCHED,,SET0062,BANK0062,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1000.00 matches gross settlement amount; expected net INR 976.40 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0063,MATCHED,,SET0063,BANK0063,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0064,MATCHED,,SET0064,BANK0064,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0065,MATCHED,,SET0065,BANK0065,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0066,MATCHED,,SET0066,BANK0066,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0067,MATCHED,,SET0067,BANK0067,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0068,MATCHED,,SET0068,BANK0068,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0069,EXCEPTION,MISSING_SETTLEMENT,,,EXCEPTION,MISSING_SETTLEMENT,100,Payment exists but no settlement was found.,"Payment record exists, but no matching settlement record was found.",Investigate why the payment has not appeared in settlement records.,True
PAY0070,MATCHED,,SET0070,BANK0070,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0071,MATCHED,,SET0071,BANK0071,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0072,MATCHED,,SET0072,BANK0072,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0073,EXCEPTION,DUPLICATE_BANK_TRANSACTION,SET0073,,EXCEPTION,DUPLICATE_BANK_TRANSACTION,100,Multiple bank transactions found for UTR UTR000073.,UTR UTR000073 appears in 2 bank transactions.,Investigate duplicate bank entries and determine which transaction is valid.,True
PAY0074,MATCHED,,SET0074,BANK0074,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0075,MATCHED,,SET0075,BANK0075,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0076,MATCHED,,SET0076,BANK0076,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0077,MATCHED,,SET0077,BANK0077,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0078,MATCHED,,SET0078,BANK0078,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0079,MATCHED,,SET0079,BANK0079,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0080,MATCHED,,SET0080,BANK0080,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0081,MATCHED,,SET0081,BANK0081,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0082,MATCHED,,SET0082,BANK0082,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0083,MATCHED,,SET0083,BANK0083,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0084,MATCHED,,SET0084,BANK0084,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0085,MATCHED,,SET0085,BANK0085,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0086,MATCHED,,SET0086,BANK0086,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0087,EXCEPTION,MISSING_SETTLEMENT,,,EXCEPTION,MISSING_SETTLEMENT,100,Payment exists but no settlement was found.,"Payment record exists, but no matching settlement record was found.",Investigate why the payment has not appeared in settlement records.,True
PAY0088,MATCHED,,SET0088,BANK0088,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0089,EXCEPTION,DATE_MISMATCH,SET0089,BANK0089,EXCEPTION,DATE_MISMATCH,100,"Settlement date: 2026-08-04, Bank date: 2026-08-20.",Settlement date: 2026-08-04; Bank date: 2026-08-20; Difference: 16 days.,Verify the settlement and bank transaction dates and investigate the timing difference.,True
PAY0090,MATCHED,,SET0090,BANK0090,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0091,EXCEPTION,UTR_MISMATCH,SET0091,BANK0091,EXCEPTION,UTR_MISMATCH,99,"Expected UTR UTR000091, but bank transaction BANK0091 has UTR WRONG000091. Amount and date match.",Expected UTR: UTR000091; Bank UTR: WRONG000091; Expected amount: INR 976.40; Bank amount: INR 976.40; Settlement date: 2026-08-05; Bank date: 2026-08-05; Date difference: 0 days.,Verify the bank UTR against the settlement record.,True
PAY0092,MATCHED,,SET0092,BANK0092,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 10000.00 matches gross settlement amount; expected net INR 9764.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0093,MATCHED,,SET0093,BANK0093,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1000.00 matches gross settlement amount; expected net INR 976.40 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0094,MATCHED,,SET0094,BANK0094,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0095,MATCHED,,SET0095,BANK0095,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 7500.00 matches gross settlement amount; expected net INR 7323.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0096,MATCHED,,SET0096,BANK0096,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0097,MATCHED,,SET0097,BANK0097,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 2500.00 matches gross settlement amount; expected net INR 2441.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0098,MATCHED,,SET0098,BANK0098,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0099,MATCHED,,SET0099,BANK0099,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0100,MATCHED,,SET0100,BANK0100,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0101,MATCHED,,SET0101,BANK0101,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0102,MATCHED,,SET0102,BANK0102,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0103,MATCHED,,SET0103,BANK0103,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0104,EXCEPTION,BANK_AMOUNT_MISMATCH,SET0104,BANK0104,EXCEPTION,BANK_AMOUNT_MISMATCH,100,"Expected bank credit INR 1464.60, but received INR 1064.60. Difference: INR -400.00.",Expected bank credit: INR 1464.60; Actual bank credit: INR 1064.60; Variance: INR -400.00.,Verify the bank credit amount against the settlement record.,True
PAY0105,MATCHED,,SET0105,BANK0105,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 1500.00 matches gross settlement amount; expected net INR 1464.60 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0106,EXCEPTION,FEE_MISMATCH,SET0106,,EXCEPTION,FEE_MISMATCH,100,"Expected fee INR 15.00, but settlement reports INR 315.00. Fee variance: INR 300.00.",Expected fee: INR 15.00; Actual fee: INR 315.00; Variance: INR 300.00.,Review the settlement fee calculation and verify the applicable fee rule.,True
PAY0107,MATCHED,,SET0107,BANK0107,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 500.00 matches gross settlement amount; expected net INR 488.20 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0108,MATCHED,,SET0108,BANK0108,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 750.00 matches gross settlement amount; expected net INR 732.30 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0109,MATCHED,,SET0109,BANK0109,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 5000.00 matches gross settlement amount; expected net INR 4882.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0110,MATCHED,,SET0110,BANK0110,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0111,EXCEPTION,BANK_AMOUNT_MISMATCH,SET0111,BANK0111,EXCEPTION,BANK_AMOUNT_MISMATCH,100,"Expected bank credit INR 2441.00, but received INR 2041.00. Difference: INR -400.00.",Expected bank credit: INR 2441.00; Actual bank credit: INR 2041.00; Variance: INR -400.00.,Verify the bank credit amount against the settlement record.,True
PAY0112,EXCEPTION,BANK_AMOUNT_MISMATCH,SET0112,BANK0112,EXCEPTION,BANK_AMOUNT_MISMATCH,100,"Expected bank credit INR 9764.00, but received INR 9364.00. Difference: INR -400.00.",Expected bank credit: INR 9764.00; Actual bank credit: INR 9364.00; Variance: INR -400.00.,Verify the bank credit amount against the settlement record.,True
PAY0113,MATCHED,,SET0113,BANK0113,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 15000.00 matches gross settlement amount; expected net INR 14646.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
PAY0114,MATCHED,,SET0114,BANK0114,MATCHED,,100,"Payment, settlement and bank transaction match successfully.",Payment amount INR 20000.00 matches gross settlement amount; expected net INR 19528.00 matches bank credit; UTR matches; dates are within tolerance.,No action required.,True
